1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8	1	1	1	1	1	1
1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0
1	1	1	9	9	9	0	1	1	16	16	16	16	16	6	6	0	21	21	21	21	0	0	8	8	8	8	8	8	0
1	1	9	9	0	9	1	1	16	16	0	0	6	16	16	6	21	21	0	0	21	21	0	0	0	0	0	8	0	0
0	0	9	0	0	9	1	16	16	0	0	6	6	1	16	16	6	0	0	0	0	21	22	22	0	0	0	8	0	0
0	9	0	0	0	0	16	16	0	0	6	6	1	1	0	16	16	0	0	0	1	21	22	22	22	0	0	8	0	0
0	9	0	0	0	0	16	0	0	6	6	1	1	0	0	6	16	16	16	16	16	0	0	22	22	0	0	8	8	0
0	9	9	0	0	16	16	0	0	6	1	1	0	0	0	16	16	6	6	1	16	16	0	22	0	0	0	0	8	0
0	0	9	0	0	0	1	0	6	0	1	1	11	0	0	16	16	0	6	0	0	0	22	22	0	0	3	0	0	0
0	0	0	0	0	0	1	0	6	0	1	11	11	0	4	16	0	0	6	6	0	0	22	0	0	3	3	0	0	0
0	0	0	0	0	0	1	0	6	0	0	11	0	4	4	11	11	0	1	6	0	0	0	0	3	3	0	0	0	0
0	0	0	0	0	1	1	0	6	0	0	11	11	4	11	11	11	0	1	6	6	0	0	3	3	0	0	0	0	0
0	0	0	0	1	1	0	0	6	0	0	0	11	11	11	11	11	0	1	0	0	0	0	3	0	0	0	0	0	0
0	1	1	1	1	0	6	6	6	0	1	1	4	11	11	11	0	0	1	0	0	11	0	3	3	3	0	0	0	0
0	0	1	0	0	0	0	1	1	1	1	1	17	0	11	4	4	0	1	1	11	11	0	0	0	3	3	3	0	0
0	0	0	0	0	1	17	17	17	17	17	17	17	0	11	11	4	0	11	11	11	0	0	0	0	0	3	3	0	0
0	0	0	1	1	0	17	0	0	0	0	0	0	0	4	11	0	11	11	0	1	1	1	0	0	3	3	0	0	0
0	0	0	1	0	0	17	0	1	1	1	18	4	4	4	11	11	11	1	1	1	1	1	0	3	3	0	0	0	0
0	0	0	1	1	1	17	1	1	0	4	18	18	18	18	18	18	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	17	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
